mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.036458889643351235,0.0073661452268945285,0.005208253860473633,0.007365583245763841,0.01,32,0.7,"{'learning_rate': 0.01, 'n_estimators': 32, 'subsample': 0.7}",0.31026157559935563,0.3124261371912712,0.30144526001576666,0.30804432426879785,0.004749180173673801,95
0.04689311981201172,2.1080840795703502e-05,0.0,0.0,0.01,32,0.75,"{'learning_rate': 0.01, 'n_estimators': 32, 'subsample': 0.75}",0.32907570246591666,0.3118455884517636,0.3073426924010456,0.3160879944395753,0.009365875579072931,94
0.04686292012532552,1.747282709712343e-05,0.0,0.0,0.01,32,0.8,"{'learning_rate': 0.01, 'n_estimators': 32, 'subsample': 0.8}",0.32985544141886647,0.2952928648683376,0.3378101421572598,0.32098614948148796,0.018455856732911103,92
0.04686927795410156,8.136561630477237e-06,0.0,0.0,0.01,32,0.85,"{'learning_rate': 0.01, 'n_estimators': 32, 'subsample': 0.85}",0.3251559903571247,0.3093409982523442,0.3256206048368713,0.3200391978154467,0.007567147065778189,93
0.0468741257985433,4.49566384116203e-07,0.0,0.0,0.01,32,0.9,"{'learning_rate': 0.01, 'n_estimators': 32, 'subsample': 0.9}",0.3478423461172234,0.3111824060830012,0.34207593578046,0.33370022932689486,0.01609559245622669,91
0.08333532015482585,0.007354238602022669,0.0,0.0,0.01,64,0.6,"{'learning_rate': 0.01, 'n_estimators': 64, 'subsample': 0.6}",0.5359076638883131,0.5010176418580492,0.5228793681171763,0.5199348912878462,0.014395158148185839,84
0.08333452542622884,0.007362329574598066,0.0,0.0,0.01,64,0.7,"{'learning_rate': 0.01, 'n_estimators': 64, 'subsample': 0.7}",0.5304281966393546,0.48887976688181956,0.5540824721112417,0.5244634785441386,0.026950962738218672,83
0.0781255563100179,1.2222812141117993e-05,0.00520777702331543,0.0073649088961876665,0.01,64,0.75,"{'learning_rate': 0.01, 'n_estimators': 64, 'subsample': 0.75}",0.541659597608398,0.5054946121117301,0.5562202720134002,0.5344581605778428,0.021325550631324307,82
0.07829141616821289,0.00023939607825898275,0.0,0.0,0.01,64,0.8,"{'learning_rate': 0.01, 'n_estimators': 64, 'subsample': 0.8}",0.5569829657517951,0.4989791284856663,0.5816597028902699,0.5458739323759104,0.03465619052808785,81
0.07812714576721191,8.990625207407381e-06,0.005209048589070638,0.007366707161724132,0.01,64,0.85,"{'learning_rate': 0.01, 'n_estimators': 64, 'subsample': 0.85}",0.5538632324159669,0.4979346032858941,0.5900399711742197,0.5472792689586936,0.03788897051091942,80
0.07812380790710449,2.1413475013267963e-06,0.0,0.0,0.01,64,0.9,"{'learning_rate': 0.01, 'n_estimators': 64, 'subsample': 0.9}",0.5659435703685867,0.5020745286396409,0.5899332246156584,0.552650441207962,0.0370793570315736,79
0.13020881017049155,0.007338419223013456,0.0,0.0,0.01,128,0.6,"{'learning_rate': 0.01, 'n_estimators': 128, 'subsample': 0.6}",0.7482113985582457,0.6676708162075279,0.766671413383462,0.727517876049745,0.042984074303981136,66
